Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Dec 2 2015,8:00 pm,Toronto Raptors,96,Atlanta Hawks,86,Box Score,,
Wed Dec 2 2015,8:00 pm,Denver Nuggets,90,Chicago Bulls,99,Box Score,,
Wed Dec 2 2015,7:00 pm,Golden State Warriors,116,Charlotte Hornets,99,Box Score,,
Wed Dec 2 2015,7:30 pm,Phoenix Suns,122,Detroit Pistons,127,Box Score,OT,
Wed Dec 2 2015,8:00 pm,New Orleans Pelicans,101,Houston Rockets,108,Box Score,,
Wed Dec 2 2015,10:30 pm,Indiana Pacers,103,Los Angeles Clippers,91,Box Score,,
Wed Dec 2 2015,7:30 pm,Philadelphia 76ers,87,New York Knicks,99,Box Score,,
Wed Dec 2 2015,8:30 pm,Milwaukee Bucks,70,San Antonio Spurs,95,Box Score,,
Wed Dec 2 2015,7:00 pm,Los Angeles Lakers,108,Washington Wizards,104,Box Score,,
Thu Dec 3 2015,9:30 pm,San Antonio Spurs,103,Memphis Grizzlies,83,Box Score,,
Thu Dec 3 2015,7:00 pm,Oklahoma City Thunder,95,Miami Heat,97,Box Score,,
